Computer	Monitor	Drucker	Maus	Budget
0	4	0	2	547.75
0	1	0	3	207.39
0	2	0	3	333.88
1	3	0	1	1019.52
1	2	0	3	921.82
0	0	0	1	31.21
1	0	0	3	682.33
0	4	0	2	566.3
0	0	0	2	60.92
0	2	0	1	284.11
0	2	0	2	310.07
0	0	0	2	62.82
0	3	0	3	462.83
0	0	0	0	4.28
0	4	0	0	518.21
0	2	0	0	271.91
0	1	0	0	125.65
0	1	0	1	170.62
1	4	0	1	1126.02
0	1	0	2	189.46
0	0	1	0	92.22
0	2	0	3	327.94
0	2	0	3	326.87
0	1	0	0	133.23
0	1	0	0	136.4
0	0	0	1	26.47
0	0	0	1	24.39
0	2	0	2	300.66
0	3	0	0	392.43
0	3	0	1	400.91
0	4	1	0	595.06
0	1	0	0	127.41
1	0	1	0	700.29
1	0	0	3	685.5
0	0	0	0	4.18
0	1	0	1	161.13
0	1	0	3	208.28
0	1	0	2	177.01
1	0	0	1	633.21
0	0	0	3	79.17
0	1	0	3	204.8
0	3	0	0	377.64
1	0	0	2	667.78
1	2	1	0	948.68
0	2	0	0	267.78
0	0	0	1	44.1
1	0	0	0	614.05
0	0	0	2	69.4
0	0	0	0	18.27
1	2	0	1	877.27
0	2	0	3	320.09
2	0	0	2	1257.26
0	1	0	3	201.28
1	1	0	1	769.44
1	0	0	1	627.73
0	0	1	1	114.42
0	0	0	2	49.54
0	1	0	3	206.63
0	0	0	0	17.6
0	3	0	1	411.21
0	1	0	3	210.61
0	2	0	3	323.15
0	3	0	0	381.86
1	1	0	1	765.84
0	2	0	1	288.34
0	3	0	2	424.5
1	1	1	0	827.98
0	4	0	2	562.22
0	0	1	0	103.98
0	4	0	2	555.28
1	0	1	1	721.06
0	0	0	0	1.54
0	4	0	1	534.73
0	2	0	2	306.11
0	2	0	1	276.92
0	3	0	1	410.35
0	4	0	0	501.98
0	2	0	0	264.01
0	2	0	1	286.95
0	0	1	0	107.19
0	2	1	0	342.15
0	0	1	0	97.95
1	3	0	2	1028.17
1	1	0	0	735.18
0	0	1	0	99.67
0	4	0	2	546.51
0	1	1	1	237.25
0	0	0	3	81.06
0	3	0	1	415.52
0	3	1	0	473.79
0	1	0	1	152.6
0	4	0	2	562.51
0	1	0	0	130.12
0	1	1	1	245.25
0	2	0	3	325.52
0	0	0	2	58.21
0	0	0	1	37.59
1	0	0	3	678.21
0	2	0	0	272.32
0	0	1	0	94.8
0	2	1	0	338.96
2	1	0	2	1373.04
1	0	0	1	634.83
1	2	0	0	860.94
0	0	0	2	67.46
0	3	1	1	487.53
1	1	0	2	785.35
0	4	0	3	585.4
0	0	0	2	69.07
0	0	1	0	89.44
1	2	0	2	898.57
0	3	0	2	423.79
1	0	1	0	709.61
1	2	0	2	899.66
0	1	0	0	129.03
0	4	0	0	505.53
0	3	1	0	475.83
0	1	0	2	178.59
0	2	0	1	288.56
0	1	0	3	207.32
0	3	0	2	437.84
0	0	1	1	116.67
0	2	1	0	357.42
1	1	0	1	752.87
0	2	0	3	329.71
0	1	1	0	229.04
0	0	1	0	105.74
0	1	1	1	247.55
0	0	1	1	122.15
0	3	0	1	414.11
0	3	0	3	451.39
0	4	0	0	513.98
0	0	0	3	83.81
0	1	0	2	182.94
0	2	0	3	322.93
0	4	0	2	563.42
0	1	0	2	181.74
0	2	0	2	305.19
1	0	1	0	695.15
0	0	0	2	64.49
1	0	0	1	625.54
0	1	0	0	128.72
0	0	0	0	9.08
0	2	0	3	333.42
1	0	1	0	689.37
0	1	0	0	146.29
0	1	0	1	151.99
1	2	0	1	892.2
0	2	1	0	348.55
0	1	1	0	232.14
0	3	0	0	384.93
0	2	0	2	306.7
0	0	0	0	21.99
1	0	0	1	628.3
1	1	1	0	831.7
1	0	0	0	610.94
0	1	0	1	167.85
0	1	0	1	164.75
1	3	0	3	1048.28
0	0	0	1	23.22
0	0	1	0	93.71
0	4	0	1	540.19
1	2	1	1	963.45
1	2	0	3	926.5
0	3	0	0	384.37
1	0	0	3	685.94
1	0	0	3	673.2
0	1	0	1	163.39
0	3	0	2	433.05
1	3	0	2	1037.79
0	1	1	1	248.33
0	1	0	2	191.2
0	4	0	0	508.7
0	2	0	2	308.89
1	4	0	3	1180.82
0	3	1	0	482.49
0	2	0	3	335.2
0	1	0	3	209.01
2	1	0	3	1401.02
0	2	0	0	252.66
0	0	0	0	22.49
0	2	1	1	367.45
0	1	1	1	247.49
0	4	0	1	529.33
0	0	0	0	14.49
0	3	1	0	482.41
0	2	1	1	361.87
0	4	1	0	592.19
0	3	0	1	414.87
0	0	0	2	51.07
1	0	0	1	638.34
1	3	0	0	989.07
1	0	0	0	602.54
1	1	1	0	833.19
0	4	0	0	502.55
0	0	0	2	52.89
0	3	1	1	495.16
0	2	0	2	311.16
0	3	0	0	376.57
0	0	0	0	6.23
1	3	0	0	984.58
0	3	0	1	405.08
1	0	1	1	711.49
0	1	1	1	244.48
1	0	0	0	608.36
0	2	0	2	298.72
0	1	1	0	223.3
0	0	0	2	68.81
0	2	0	2	303.83
0	3	0	0	375.08
1	0	1	0	703.67
0	3	1	1	487.54
0	0	1	0	107.48
0	0	1	0	100.25
0	3	1	0	472.42
0	3	0	2	439.34
0	0	0	0	9.56
0	4	0	3	577.71
0	2	0	1	281.6
0	3	1	0	482.38
0	2	0	0	250.22
0	0	1	0	98.56
0	0	0	0	4.87
1	0	0	0	620.28
0	2	1	0	342.31
0	1	0	0	136.27
0	2	0	0	251.26
0	2	0	3	328.09
0	0	0	3	74.21
0	0	1	1	123.16
1	1	0	1	762.69
0	1	1	0	227.4
1	0	1	0	688.97
0	0	0	2	52.35
0	2	0	2	307.19
1	0	0	2	662.04
0	2	0	3	319.96
0	4	0	0	516.71
1	0	0	3	673.78
1	2	0	2	903.26
0	1	0	1	154.94
1	4	0	2	1157.36
0	1	0	2	193.15
0	1	1	1	245.53
1	0	0	2	665.07
1	0	0	1	625.15
0	1	0	2	180.9
1	1	0	3	802.2
0	1	0	0	131.15
0	0	0	2	61.18
0	0	0	0	19.53
0	0	0	2	54.25
0	2	1	1	364.03
1	1	0	0	726.53
0	4	0	3	582.45
0	4	1	0	591.35
0	0	0	1	40.79
0	3	1	0	472.54
0	3	0	3	444.76
0	4	0	1	542.44
0	2	0	0	269.62
0	2	1	1	374.46
1	4	0	0	1099.3
0	1	0	1	164.51
0	1	0	2	180.22
1	0	0	0	608.98
0	0	1	1	111.71
0	2	1	0	351.14
0	1	0	2	183.69
0	2	0	1	292
1	0	1	0	703.88
0	0	1	1	118.09
1	2	0	2	903.06
0	0	1	0	98.25
0	0	0	3	83.66
0	3	0	2	426.35
0	0	1	1	111.98
0	2	0	0	261.11
0	1	1	0	230.29
0	1	0	2	173.12
1	3	0	0	981.17
0	2	1	0	354.4
0	4	1	0	595.66
0	1	0	3	204.19
0	4	0	1	543.7
0	0	1	0	90.36
0	4	1	0	593.17
0	4	0	1	542.16
0	1	0	0	143.39
0	2	0	2	312.97
0	3	0	1	414.83
0	2	0	2	306.64
0	3	0	0	376.47
0	2	0	0	250.53
1	3	0	3	1061.81
0	1	0	3	196.87
0	0	0	3	72.09
0	2	0	2	306.23
0	1	1	1	242.07
0	1	0	2	175.01
0	0	0	1	33.16
1	0	0	3	674.07
1	0	0	0	617.21
0	0	1	1	112.38
0	3	0	2	440.55
1	0	0	3	676.5
0	1	0	0	135.91
1	0	1	1	719.27
0	3	1	0	485.17
0	2	0	1	283.43
0	4	0	1	527.77
0	3	1	1	489.04
0	0	0	0	17.23
0	4	0	0	500.23
0	0	0	3	74.89
0	0	1	1	117.62
0	1	0	1	162.42
0	1	1	0	214.11
0	0	0	1	33.92
0	1	0	2	186.78
0	1	0	3	207.17
1	2	0	2	904.14
0	1	1	1	237.45
0	0	0	3	77.42
1	1	1	0	822.87
0	0	0	2	58.48
1	3	1	1	1094.04
1	1	0	0	744.22
1	1	0	3	801.87
0	0	0	3	75.48
1	1	0	3	794.06
0	3	0	1	412.66
1	0	0	1	629.2
1	1	0	1	757.64
0	0	0	1	35.2
0	0	0	0	22.44
0	3	0	1	407.03
0	1	0	3	196.25
0	2	0	2	313.63
0	4	0	2	556.47
0	0	0	2	50.52
1	1	0	0	733.68
0	2	0	0	263.83
0	2	0	1	284.07
0	0	0	0	1.89
1	1	1	0	822.52
1	0	1	0	704.48
1	3	0	1	998.85
0	1	0	2	183.67
0	1	0	3	200.17
0	3	0	2	424.87
0	2	0	1	294.86
1	3	1	1	1091.3
0	3	0	2	424.33
0	0	0	1	39.21
0	2	0	2	310.25
0	3	1	1	494.62
1	1	1	1	848.05
0	2	0	3	333.34
1	0	0	2	652.77
1	2	0	1	892.53
0	0	1	0	91.96
0	0	1	0	107.16
0	3	0	3	446.93
0	1	0	2	180.9
0	2	0	0	264.66
0	0	1	1	122.3
1	1	0	0	745.09
0	1	0	3	194.8
0	3	1	1	499.54
1	2	0	0	870.65
0	1	0	2	183.71
0	1	1	0	219.85
0	1	0	2	178.74
0	0	1	0	99.04
0	1	0	0	126.3
1	0	1	0	699.94
0	2	0	2	314.88
0	3	0	0	392.98
0	1	0	1	161.51
0	1	0	0	134.29
0	3	0	1	416.39
0	3	0	2	424.1
0	2	0	0	270.83
0	1	0	2	186.07
0	3	1	1	495.43
1	3	0	2	1036.62
0	1	0	2	178.5
1	0	0	1	639.65
0	3	0	1	419.76
0	1	0	3	199.4
0	1	0	0	126.09
0	0	1	0	108.15
0	0	1	1	119.27
0	0	1	0	94.01
0	1	1	0	231.21
0	1	1	1	249.69
1	0	0	3	685.28
0	1	0	0	132.01
0	1	0	1	151.89
0	1	1	0	225.35
0	4	0	3	585.65
0	4	0	0	509.77
0	2	1	1	365.65
0	0	0	1	32.44
0	4	0	2	549.44
0	0	0	3	82.76
0	2	0	2	313.16
1	0	0	2	650.05
0	3	0	1	416.4
0	0	0	0	19.82
0	0	1	1	112.21
0	4	1	0	590.2
0	0	0	1	42.84
0	1	0	2	194.32
0	0	0	0	5.85
0	0	0	0	5.56
0	0	0	2	52.33
0	1	0	1	153.94
0	3	1	0	475.25
0	2	0	1	278.28
0	0	1	0	99.16
0	0	1	0	88.99
0	1	0	0	137.69
0	1	1	0	215.61
0	1	1	0	226.4
0	0	1	0	98.36
0	3	1	0	472.76
0	3	1	0	478.31
0	1	0	0	141.86
1	1	0	0	736.23
0	1	1	0	235.75
0	0	0	3	75.95
2	0	0	1	1226.79
0	0	0	0	15.35
0	1	0	1	149.59
0	3	1	1	491.15
0	4	0	1	546.01
2	0	1	0	1291.65
0	1	0	1	167.91
0	1	0	2	183.61
0	1	1	0	228.43
1	0	0	0	603.96
0	4	0	1	528.23
0	3	1	1	493.33
0	1	1	0	218.13
0	2	0	2	300.05
1	0	0	2	660.29
0	2	1	0	338.13
0	0	0	2	63.84
0	1	0	2	190.6
0	2	0	0	256.72
1	1	0	0	737.62
1	2	1	1	973.04
0	1	0	0	131.17
1	3	0	1	1000.5
0	0	0	0	5.38
1	3	0	2	1036.07
0	4	0	3	585.05
1	0	1	0	693.97
0	3	0	0	386.96
0	0	0	2	61.82
1	2	0	1	885.48
0	3	0	1	401.24
0	0	0	1	40.35
0	3	0	0	375.52
0	1	1	1	240.35
0	3	1	1	486.87
1	0	0	0	605.38
0	3	1	0	471.68
1	2	1	0	943.32
0	2	0	2	298.32
1	0	0	0	603.15
0	2	0	2	313.89
0	3	1	0	466.13
1	2	0	3	926.04
0	0	0	0	7.42
0	1	0	3	201.55
0	1	0	0	145.29
0	1	1	0	225.91
0	3	0	2	429.96
0	3	0	1	403.78
1	1	0	2	775.19
0	1	0	0	125.19
0	3	0	2	423.38
0	0	1	1	122.91
0	0	1	1	123.57
1	0	0	0	607.62
0	0	1	1	121.28
0	2	1	1	364.03
0	4	0	0	500.93
0	3	1	0	481.3
1	0	0	1	628.35
0	3	1	0	480.1
1	1	0	2	784.61
0	4	0	1	536.14
0	2	0	1	285.36
1	0	0	1	637.45
0	0	0	1	35.36
0	0	1	0	96.26
0	4	0	1	531.21
0	1	1	0	235.73
1	1	0	0	741.05
1	3	0	2	1038.43
0	3	0	1	403.04
0	2	0	0	257.62
0	3	0	0	375.78
0	3	0	2	442.93
0	3	1	1	499.64
0	4	0	1	540.02
1	3	0	3	1058.47
0	3	0	0	383.54
0	0	0	1	25.74
0	3	1	0	470.14
0	1	0	2	184.59
0	1	0	1	158.73
0	3	0	3	459.74
0	4	0	1	523.56
0	4	0	0	513.95
0	2	0	1	288.98
0	0	0	0	12.27
0	1	1	0	231.08
0	4	0	2	548.8
0	3	0	2	434.15
0	2	1	1	364.31
0	4	0	0	500.11
0	1	0	2	177.5
2	0	0	1	1243.86
0	2	0	1	294.11
1	0	0	1	629.75
1	1	0	1	755.32
0	3	0	1	403.04
0	2	1	0	338.73
0	0	0	3	81.45
0	1	1	0	233.22
2	3	0	0	1583.19
0	2	1	1	368.57
1	4	1	0	1187.06
1	1	0	2	778.78
0	1	0	3	211.64
0	3	0	2	439.75
0	0	0	0	18.5
0	0	0	0	9.35
0	2	0	0	259.38
0	3	1	0	466.02
1	0	0	2	648.05
1	0	1	0	688.74
0	0	0	2	68.84
0	0	0	2	60.31
0	2	1	0	338.79
0	2	1	0	357.33
0	1	0	3	201.52
0	3	1	0	468.89
0	0	0	3	80.74
0	2	0	1	291.57
0	0	1	1	121.16
0	1	0	1	153.85
1	1	0	3	800.67
0	4	0	2	546.48
0	2	1	1	372.15
0	1	1	0	221.79
0	3	1	1	499.69
0	0	0	0	14.14
0	0	0	2	67.71
1	1	0	0	725.1
0	1	0	0	145.86
1	0	0	0	599.21
2	0	0	0	1220.9
0	2	0	0	253.81
0	2	0	1	294.42
0	0	0	0	6.78
0	0	0	1	31
0	2	0	0	258.24
1	1	1	1	848.12
0	4	0	2	553.65
0	1	0	1	159.54
0	3	0	1	408.88
0	0	1	0	101.39
0	4	1	0	589.32
0	2	0	0	258.25
0	1	1	1	243.44
2	0	1	0	1308.63
0	3	0	0	391.41
1	2	0	1	890.21
0	4	0	1	535.71
0	3	0	1	415.67
0	1	0	1	154.02
0	3	0	2	441.32
1	3	0	0	987.3
0	2	0	0	263.74
0	2	0	2	309.48
0	2	0	0	258.57
0	1	0	1	170.03
0	0	1	0	99.54
1	0	0	3	676.73
0	1	0	0	126.97
